r0	r1	r2	r3	r4	r5	r6	r7	r8	r9	g0	g1	g2	g3	g4	g5	g6	g7	g8	g9	b0	b1	b2	b3	b4	b5	b6	b7	b8	b9	a0	a1	a2	a3	a4	a5	a6	a7	a8	a9
-1.1020633	0.008910447	-1.0714906	2.0563633	2.160717	-1.2560519	-1.9755502	0.40074074	-0.3989935	1.9118428	-2.6339016	-1.3130324	-1.3951076	-2.4434962	-1.8324283	-3.4683304	-3.405059	-3.4588768	-2.9795125	-1.7863485	1.7867053	2.0979798	-0.8741876	0.6234417	2.0397923	1.1038092	-1.3125383	-0.437622	1.7685418	-0.3318298	1	1	1	1	1	1	1	1	1	1
-1.1020317	0.008947359	-1.0714694	2.056299	2.160678	-1.25598	-1.9756278	0.40076655	-0.39894706	1.9118799	-2.650261	-1.3293476	-1.4114457	-2.4598672	-1.848764	-3.4847198	-3.421447	-3.4752524	-2.995889	-1.8026824	1.7867247	2.0980127	-0.8742225	0.62338066	2.039826	1.1038144	-1.3124954	-0.43764696	1.7685457	-0.33182305	1	1	1	1	1	1	1	1	1	1
-1.1019973	0.008986053	-1.0714502	2.0562358	2.1606412	-1.2559078	-1.9757016	0.4007877	-0.3989098	1.9119138	-2.6666245	-1.3456589	-1.4277822	-2.4762273	-1.8651084	-3.5011115	-3.4378412	-3.4916272	-3.0122685	-1.8190175	1.7867427	2.098041	-0.8742606	0.6233204	2.039862	1.1038198	-1.3124536	-0.4376738	1.7685435	-0.33181968	1	1	1	1	1	1	1	1	1	1
-1.1019636	0.009026945	-1.071433	2.056173	2.1606066	-1.2558346	-1.9757702	0.4008057	-0.39888045	1.9119452	-2.68299	-1.361972	-1.4441136	-2.4925785	-1.8814604	-3.5175068	-3.4542363	-3.5080004	-3.0286493	-1.8353568	1.7867593	2.0980654	-0.8743009	0.6232631	2.0399008	1.1038239	-1.3124144	-0.43770108	1.7685394	-0.33181533	1	1	1	1	1	1	1	1	1	1
-1.1019342	0.009070873	-1.071417	2.0561104	2.1605732	-1.2557585	-1.975834	0.40082353	-0.3988576	1.9119745	-2.6993535	-1.3782903	-1.4604388	-2.508927	-1.8978189	-3.5339038	-3.4706297	-3.5243697	-3.045029	-1.8517001	1.7867752	2.0980856	-0.8743436	0.6232102	2.0399432	1.103826	-1.312377	-0.43772727	1.7685362	-0.33180532	1	1	1	1	1	1	1	1	1	1
-1.1019094	0.00911808	-1.0714016	2.056047	2.1605392	-1.2556794	-1.9758949	0.40084416	-0.39884073	1.912001	-2.7157145	-1.3946147	-1.4767591	-2.5252817	-1.9141825	-3.5502982	-3.487019	-3.5407355	-3.061406	-1.8680456	1.7867923	2.098102	-0.8743889	0.62316066	2.0399888	1.1038265	-1.3123395	-0.43775216	1.7685341	-0.3317864	1	1	1	1	1	1	1	1	1	1
-1.1018873	0.0091697145	-1.0713869	2.0559828	2.1605036	-1.2555981	-1.9759555	0.4008691	-0.39883038	1.9120241	-2.7320757	-1.4109457	-1.4930769	-2.5416455	-1.9305488	-3.5666864	-3.5034034	-3.5571012	-3.0777795	-1.8843936	1.7868117	2.0981145	-0.8744371	0.6231111	2.0400367	1.1038258	-1.3123001	-0.43777737	1.7685336	-0.33175737	1	1	1	1	1	1	1	1	1	1
-1.1018656	0.009227052	-1.0713733	2.0559196	2.1604664	-1.2555156	-1.9760166	0.40089878	-0.39882684	1.9120436	-2.7484424	-1.4272808	-1.5093956	-2.558014	-1.9469146	-3.5830684	-3.5197816	-3.5734696	-3.0941505	-1.9007438	1.786835	2.098123	-0.87448895	0.6230583	2.0400867	1.1038246	-1.3122576	-0.43780464	1.7685344	-0.33171874	1	1	1	1	1	1	1	1	1	1
-1.1018413	0.009292104	-1.0713607	2.055859	2.160429	-1.2554328	-1.9760782	0.40093282	-0.39882916	1.9120595	-2.7648172	-1.4436159	-1.5257174	-2.574379	-1.9632773	-3.5994465	-3.536153	-3.5898416	-3.1105213	-1.9170953	1.7868633	2.0981276	-0.874545	0.62300116	2.0401397	1.1038233	-1.3122118	-0.43783474	1.7685355	-0.33167264	1	1	1	1	1	1	1	1	1	1
-1.1018132	0.009366412	-1.0713474	2.0558023	2.1603947	-1.2553514	-1.9761399	0.40097108	-0.39883557	1.9120734	-2.7811973	-1.4599483	-1.5420432	-2.590739	-1.9796358	-3.615823	-3.5525215	-3.606218	-3.1268945	-1.9334462	1.7868978	2.0981286	-0.87460476	0.62294203	2.040197	1.1038215	-1.3121617	-0.43786672	1.7685355	-0.33162192	1	1	1	1	1	1	1	1	1	1
-1.1017832	0.0094505735	-1.0713319	2.0557508	2.1603665	-1.2552735	-1.9762015	0.40101233	-0.3988448	1.9120879	-2.797578	-1.4762777	-1.55837	-2.6070964	-1.9959917	-3.6321983	-3.5688913	-3.6225998	-3.143271	-1.9497943	1.7869384	2.0981274	-0.8746685	0.6228855	2.04026	1.1038171	-1.312107	-0.43789923	1.7685329	-0.3315688	1	1	1	1	1	1	1	1	1	1
-1.1017538	0.009543671	-1.0713141	2.055705	2.160345	-1.255201	-1.9762607	0.40105352	-0.39885688	1.9121065	-2.8139575	-1.492604	-1.574694	-2.6234548	-2.012346	-3.6485717	-3.5852644	-3.6389868	-3.15965	-1.9661393	1.7869842	2.098126	-0.8747364	0.62283605	2.0403283	1.1038082	-1.3120495	-0.43793082	1.7685263	-0.33151537	1	1	1	1	1	1	1	1	1	1
-1.1017262	0.009642248	-1.0712963	2.055664	2.1603272	-1.2551354	-1.9763148	0.4010905	-0.39887297	1.9121313	-2.8303351	-1.5089259	-1.5910151	-2.6398172	-2.028698	-3.6649442	-3.6016421	-3.6553762	-3.1760297	-1.9824831	1.7870332	2.0981264	-0.8748085	0.6227953	2.0403976	1.1037937	-1.3119935	-0.43796033	1.7685151	-0.33146313	1	1	1	1	1	1	1	1	1	1
-1.1017011	0.009741893	-1.0712817	2.0556257	2.1603086	-1.2550774	-1.9763626	0.4011194	-0.39889455	1.9121622	-2.846713	-1.525243	-1.6073364	-2.656184	-2.045049	-3.681317	-3.618023	-3.671765	-3.1924093	-1.9988279	1.7870835	2.0981305	-0.8748838	0.62276214	2.0404634	1.1037743	-1.3119438	-0.43798694	1.7684978	-0.3314131	1	1	1	1	1	1	1	1	1	1
